name	description	comment
ID	Unique ID of source	form=J; integer
RA	RA of source, ICRS, from detection image [unit: deg]	form=D; double
DEC	Dec of source, ICRS, from detection image [unit: deg]	form=D; double
F070W_CIRC0	Flux of source within a circular aperture of 80% enclosed energy radius (nJy) [unit: nJy]	form=E
F070W_CIRC0_bkg	F070W_CIRC0_bkg [unit: nJy]	form=D
F070W_CIRC0_e	Flux NMAD uncertainty of source within a circular aperture of 80% enclosed energy radius, measured from a series of random apertures (nJy) [unit: nJy]	form=E
F070W_CIRC0_ei	Flux uncertainty of source within a circular aperture of 80% enclosed energy radius, measured from the ERR extension (nJy) [unit: nJy]	form=E
F070W_CIRC1	Flux of source within a circular aperture of 0.10'' radius (nJy) [unit: nJy]	form=E
F070W_CIRC1_bkg	F070W_CIRC1_bkg [unit: nJy]	form=D
F070W_CIRC1_e	Flux NMAD uncertainty of source within a circular aperture of 0.10'' radius, measured from a series of random apertures (nJy) [unit: nJy]	form=E
F070W_CIRC1_ei	Flux uncertainty of source within a circular aperture of 0.10'' radius, measured from the ERR extension (nJy) [unit: nJy]	form=E
F070W_CIRC2	Flux of source within a circular aperture of 0.15'' radius (nJy) [unit: nJy]	form=E
F070W_CIRC2_bkg	F070W_CIRC2_bkg [unit: nJy]	form=D
F070W_CIRC2_e	Flux NMAD uncertainty of source within a circular aperture of 0.15'' radius, measured from a series of random apertures (nJy) [unit: nJy]	form=E
F070W_CIRC2_ei	Flux uncertainty of source within a circular aperture of 0.15'' radius, measured from the ERR extension (nJy) [unit: nJy]	form=E
F070W_CIRC3	Flux of source within a circular aperture of 0.25'' radius (nJy) [unit: nJy]	form=E
F070W_CIRC3_bkg	F070W_CIRC3_bkg [unit: nJy]	form=D
F070W_CIRC3_e	Flux NMAD uncertainty of source within a circular aperture of 0.25'' radius, measured from a series of random apertures (nJy) [unit: nJy]	form=E
F070W_CIRC3_ei	Flux uncertainty of source within a circular aperture of 0.25'' radius, measured from the ERR extension (nJy) [unit: nJy]	form=E
F070W_CIRC4	Flux of source within a circular aperture of 0.30'' radius (nJy) [unit: nJy]	form=E
F070W_CIRC4_bkg	F070W_CIRC4_bkg [unit: nJy]	form=D
F070W_CIRC4_e	Flux NMAD uncertainty of source within a circular aperture of 0.30'' radius, measured from a series of random apertures (nJy) [unit: nJy]	form=E
F070W_CIRC4_ei	Flux uncertainty of source within a circular aperture of 0.30'' radius, measured from the ERR extension (nJy) [unit: nJy]	form=E
F070W_CIRC5	Flux of source within a circular aperture of 0.35'' radius (nJy) [unit: nJy]	form=E
F070W_CIRC5_bkg	F070W_CIRC5_bkg [unit: nJy]	form=D
F070W_CIRC5_e	Flux NMAD uncertainty of source within a circular aperture of 0.35'' radius, measured from a series of random apertures (nJy) [unit: nJy]	form=E
F070W_CIRC5_ei	Flux uncertainty of source within a circular aperture of 0.35'' radius, measured from the ERR extension (nJy) [unit: nJy]	form=E
F070W_CIRC6	Flux of source within a circular aperture of 0.50'' radius (nJy) [unit: nJy]	form=E
F070W_CIRC6_bkg	F070W_CIRC6_bkg [unit: nJy]	form=D
F070W_CIRC6_e	Flux NMAD uncertainty of source within a circular aperture of 0.50'' radius, measured from a series of random apertures (nJy) [unit: nJy]	form=E
F070W_CIRC6_ei	Flux uncertainty of source within a circular aperture of 0.50'' radius, measured from the ERR extension (nJy) [unit: nJy]	form=E
F090W_CIRC0	Flux of source within a circular aperture of 80% enclosed energy radius (nJy) [unit: nJy]	form=E
F090W_CIRC0_bkg	F090W_CIRC0_bkg [unit: nJy]	form=D
F090W_CIRC0_e	Flux NMAD uncertainty of source within a circular aperture of 80% enclosed energy radius, measured from a series of random apertures (nJy) [unit: nJy]	form=E
F090W_CIRC0_ei	Flux uncertainty of source within a circular aperture of 80% enclosed energy radius, measured from the ERR extension (nJy) [unit: nJy]	form=E
F090W_CIRC1	Flux of source within a circular aperture of 0.10'' radius (nJy) [unit: nJy]	form=E
F090W_CIRC1_bkg	F090W_CIRC1_bkg [unit: nJy]	form=D
