name	description	comment
ID	Unique source identifier	form=K; integer
RA	Right ascension [unit: deg]	form=D; double
DEC	Declination [unit: deg]	form=D; double
F070W_CIRC0	Aperture-corrected, background-subtracted flux for filter {BAND} for common-PSF image within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F070W_CIRC0_bkg	Background subtraction value for {BAND} CIRC0 [unit: nJy]	form=E
F070W_CIRC0_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F070W_CIRC0_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F070W_CIRC1	Aperture-corrected, background-subtracted flux for filter {BAND} for common-PSF image within r = 0.1'' circular aperture [unit: nJy]	form=E
F070W_CIRC1_bkg	Background subtraction value for {BAND} CIRC1 [unit: nJy]	form=E
F070W_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F070W_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F070W_CIRC2	Aperture-corrected, background-subtracted flux for filter {BAND} for common-PSF image within r = 0.15'' circular aperture [unit: nJy]	form=E
F070W_CIRC2_bkg	Background subtraction value for {BAND} CIRC2 [unit: nJy]	form=E
F070W_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F070W_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F070W_CIRC3	Aperture-corrected, background-subtracted flux for filter {BAND} for common-PSF image within r = 0.25'' circular aperture [unit: nJy]	form=E
F070W_CIRC3_bkg	Background subtraction value for {BAND} CIRC3 [unit: nJy]	form=E
F070W_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F070W_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
