name	description	comment
ID	Unique ID of source	form=K; integer
RA	RA of source, ICRS, from detection image [unit: deg]	form=D; double
DEC	Dec of source, ICRS, from detection image [unit: deg]	form=D; double
F070W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F070W_WHT	F070W_WHT [unit: (MJy/sr)^-2]	form=D
F070W_TEXP	F070W_TEXP [unit: s]	form=D
F090W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F090W_WHT	F090W_WHT [unit: (MJy/sr)^-2]	form=D
F090W_TEXP	F090W_TEXP [unit: s]	form=D
F115W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F115W_WHT	F115W_WHT [unit: (MJy/sr)^-2]	form=D
F115W_TEXP	F115W_TEXP [unit: s]	form=D
F150W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F150W_WHT	F150W_WHT [unit: (MJy/sr)^-2]	form=D
F150W_TEXP	F150W_TEXP [unit: s]	form=D
F162M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F162M_WHT	F162M_WHT [unit: (MJy/sr)^-2]	form=D
F162M_TEXP	F162M_TEXP [unit: s]	form=D
F182M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F182M_WHT	F182M_WHT [unit: (MJy/sr)^-2]	form=D
F182M_TEXP	F182M_TEXP [unit: s]	form=D
F200W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F200W_WHT	F200W_WHT [unit: (MJy/sr)^-2]	form=D
F200W_TEXP	F200W_TEXP [unit: s]	form=D
F210M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F210M_WHT	F210M_WHT [unit: (MJy/sr)^-2]	form=D
F210M_TEXP	F210M_TEXP [unit: s]	form=D
F250M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F250M_WHT	F250M_WHT [unit: (MJy/sr)^-2]	form=D
F250M_TEXP	F250M_TEXP [unit: s]	form=D
F277W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F277W_WHT	F277W_WHT [unit: (MJy/sr)^-2]	form=D
F277W_TEXP	F277W_TEXP [unit: s]	form=D
F300M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F300M_WHT	F300M_WHT [unit: (MJy/sr)^-2]	form=D
F300M_TEXP	F300M_TEXP [unit: s]	form=D
F335M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F335M_WHT	F335M_WHT [unit: (MJy/sr)^-2]	form=D
F335M_TEXP	F335M_TEXP [unit: s]	form=D
F356W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F356W_WHT	F356W_WHT [unit: (MJy/sr)^-2]	form=D
F356W_TEXP	F356W_TEXP [unit: s]	form=D
F410M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F410M_WHT	F410M_WHT [unit: (MJy/sr)^-2]	form=D
F410M_TEXP	F410M_TEXP [unit: s]	form=D
F430M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F430M_WHT	F430M_WHT [unit: (MJy/sr)^-2]	form=D
F430M_TEXP	F430M_TEXP [unit: s]	form=D
F444W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F444W_WHT	F444W_WHT [unit: (MJy/sr)^-2]	form=D
F444W_TEXP	F444W_TEXP [unit: s]	form=D
F460M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F460M_WHT	F460M_WHT [unit: (MJy/sr)^-2]	form=D
F460M_TEXP	F460M_TEXP [unit: s]	form=D
F480M_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F480M_WHT	F480M_WHT [unit: (MJy/sr)^-2]	form=D
F480M_TEXP	F480M_TEXP [unit: s]	form=D
F435W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F435W_WHT	F435W_WHT [unit: (MJy/sr)^-2]	form=D
F435W_TEXP	F435W_TEXP [unit: s]	form=D
F606W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F606W_WHT	F606W_WHT [unit: (MJy/sr)^-2]	form=D
F606W_TEXP	F606W_TEXP [unit: s]	form=D
F775W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F775W_WHT	F775W_WHT [unit: (MJy/sr)^-2]	form=D
F775W_TEXP	F775W_TEXP [unit: s]	form=D
F814W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F814W_WHT	F814W_WHT [unit: (MJy/sr)^-2]	form=D
F814W_TEXP	F814W_TEXP [unit: s]	form=D
F850LP_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F850LP_WHT	F850LP_WHT [unit: (MJy/sr)^-2]	form=D
F850LP_TEXP	F850LP_TEXP [unit: s]	form=D
F105W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F105W_WHT	F105W_WHT [unit: (MJy/sr)^-2]	form=D
F105W_TEXP	F105W_TEXP [unit: s]	form=D
F125W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F125W_WHT	F125W_WHT [unit: (MJy/sr)^-2]	form=D
F125W_TEXP	F125W_TEXP [unit: s]	form=D
F140W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F140W_WHT	F140W_WHT [unit: (MJy/sr)^-2]	form=D
F140W_TEXP	F140W_TEXP [unit: s]	form=D
F160W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F160W_WHT	F160W_WHT [unit: (MJy/sr)^-2]	form=D
F160W_TEXP	F160W_TEXP [unit: s]	form=D
F560W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F560W_WHT	F560W_WHT [unit: (MJy/sr)^-2]	form=D
F560W_TEXP	F560W_TEXP [unit: s]	form=D
F770W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F770W_WHT	F770W_WHT [unit: (MJy/sr)^-2]	form=D
F770W_TEXP	F770W_TEXP [unit: s]	form=D
F1280W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F1280W_WHT	F1280W_WHT [unit: (MJy/sr)^-2]	form=D
F1280W_TEXP	F1280W_TEXP [unit: s]	form=D
F1500W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F1500W_WHT	F1500W_WHT [unit: (MJy/sr)^-2]	form=D
F1500W_TEXP	F1500W_TEXP [unit: s]	form=D
F1800W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F1800W_WHT	F1800W_WHT [unit: (MJy/sr)^-2]	form=D
F1800W_TEXP	F1800W_TEXP [unit: s]	form=D
F2100W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F2100W_WHT	F2100W_WHT [unit: (MJy/sr)^-2]	form=D
F2100W_TEXP	F2100W_TEXP [unit: s]	form=D
F2550W_FLAG	Number of bad pixels in filter [F] [unit: pix]	form=D
F2550W_WHT	F2550W_WHT [unit: (MJy/sr)^-2]	form=D
F2550W_TEXP	F2550W_TEXP [unit: s]	form=D
