name	description	comment
ID	Unique ID of source	form=J; integer
RA	RA of source, ICRS, from detection image [unit: deg]	form=D; double
DEC	Dec of source, ICRS, from detection image [unit: deg]	form=D; double
A_KRON	A_KRON [unit: arcsec]	form=D
B_KRON	B_KRON [unit: arcsec]	form=D
THETA_KRON	THETA_KRON [unit: deg]	form=D
F070W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F070W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F070W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F070W_KRON_bkg	F070W_KRON_bkg [unit: nJy]	form=D
A_KRON_S	A_KRON_S [unit: arcsec]	form=D
B_KRON_S	B_KRON_S [unit: arcsec]	form=D
THETA_KRON_S	THETA_KRON_S [unit: deg]	form=D
F070W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F070W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F070W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F070W_KRON_S_bkg	F070W_KRON_S_bkg [unit: nJy]	form=D
F090W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F090W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F090W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F090W_KRON_bkg	F090W_KRON_bkg [unit: nJy]	form=D
F090W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F090W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F090W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F090W_KRON_S_bkg	F090W_KRON_S_bkg [unit: nJy]	form=D
F105W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F105W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F105W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F105W_KRON_bkg	F105W_KRON_bkg [unit: nJy]	form=D
F105W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F105W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F105W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F105W_KRON_S_bkg	F105W_KRON_S_bkg [unit: nJy]	form=D
F115W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F115W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F115W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F115W_KRON_bkg	F115W_KRON_bkg [unit: nJy]	form=D
F115W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F115W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F115W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F115W_KRON_S_bkg	F115W_KRON_S_bkg [unit: nJy]	form=D
F125W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F125W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
