name	description	comment
ID	Unique source identifier	form=K; integer
RA	Right ascension [unit: deg]	form=D; double
DEC	Declination [unit: deg]	form=D; double
A_KRON	Semimajor axis size of aperture defined with Kron parameter k = 2.5 [unit: arcsec]	form=D
B_KRON	Semiminor axis size of aperture defined with Kron parameter k = 2.5 [unit: arcsec]	form=D
THETA_KRON	Position angle of Kron aperture semimajor axis relative to image x-axis, for Kron parameter k = 2.5 [unit: deg]	form=D
A_KRON_S	Semimajor axis size of aperture defined with Kron parameter k = 1.4 [unit: arcsec]	form=D
B_KRON_S	Semiminor axis size of aperture defined with Kron parameter k = 1.4 [unit: arcsec]	form=D
THETA_KRON_S	Position angle of Kron aperture semimajor axis relative to image x-axis, for Kron parameter k = 1.4 [unit: deg]	form=D
F070W_KRON	Aperture-corrected, background-subtracted flux for filter {BAND} common-PSF image within the aperture with Kron parameter k = 2.5 [unit: nJy]	form=E
F070W_KRON_bkg	Background subtraction value for {BAND}_KRON with Kron parameter k = 2.5 [unit: nJy]	form=E
F070W_KRON_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression applied to common-PSF image using Kron parameter k = 2.5 [unit: nJy]	form=E
F070W_KRON_ei	Aperture-corrected flux uncertainty determined from common-PSF ERR image using Kron parameter k = 2.5 [unit: nJy]	form=E
F070W_KRON_S	Aperture-corrected, background-subtracted flux for filter {BAND} common-PSF image within the aperture with Kron parameter k = 1.4 [unit: nJy]	form=E
F070W_KRON_S_bkg	Background subtraction value for {BAND}_KRON_S with Kron parameter k = 1.4 [unit: nJy]	form=E
F070W_KRON_S_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression using Kron parameter k = 1.4 [unit: nJy]	form=E
F070W_KRON_S_ei	Aperture-corrected flux uncertainty determined from common-PSF ERR image using Kron parameter k = 1.4 [unit: nJy]	form=E
F090W_KRON	Aperture-corrected, background-subtracted flux for filter {BAND} common-PSF image within the aperture with Kron parameter k = 2.5 [unit: nJy]	form=E
