name	description	comment
ID	Unique source identifier	form=K; integer
RA	Right ascension [unit: deg]	form=D; double
DEC	Declination [unit: deg]	form=D; double
F560W_CIRC0	Aperture-corrected flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F560W_CIRC0_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC0_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC1	Aperture-corrected flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F560W_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC2	Aperture-corrected flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F560W_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC3	Aperture-corrected flux for filter {BAND} within r = 0.25'' circular aperture [unit: nJy]	form=E
F560W_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC4	Aperture-corrected flux for filter {BAND} within r = 0.30'' circular aperture [unit: nJy]	form=E
F560W_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC5	Aperture-corrected flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
