name	description	comment
ID	Unique source identifier	form=K; integer
z_spec	z_spec	form=D
z_a	Photometric redshift	form=E
z_ml	Maximum-likelihood photometric redshift	form=E
chi_a	chi-square value associated with photometric redshift	form=E
l68	Lower 68% confidence interval on photometric redshift	form=D
u68	Upper 68% confidence interval on photometric redshift	form=D
l95	Lower 95% confidence interval on photometric redshift	form=D
u95	Upper 95% confidence interval on photometric redshift	form=D
l99	Lower 99% confidence interval on photometric redshift	form=D
u99	Upper 99% confidence interval on photometric redshift	form=D
nfilt	Number of photometric filters used to constrain SED for photometric redshift	form=K
z_peak	Value of photometric redshift at peak of P(z) distribution	form=D
chi_peak	chi-square value at peak of P(z) distribution	form=D
z025	Photometric redshift at marginal 2.5% cumulative probability	form=E
z160	Photometric redshift at marginal 16.0% cumulative probability	form=E
z500	Median of marginal photometric redshift probability distribution	form=E
z840	Photometric redshift at marginal 84.0% cumulative probability	form=E
z975	Photometric redshift at marginal 97.5% cumulative probability	form=E
Prob_gt_5	Integrated probability of photometric redshift z > 5	form=D
Prob_gt_6	Integrated probability of photometric redshift z > 6	form=D
Prob_gt_7	Integrated probability of photometric redshift z > 7	form=D
Prob_gt_8	Integrated probability of photometric redshift z > 8	form=D
Prob_gt_9	Integrated probability of photometric redshift z > 9	form=D
chisq_z_lt_7	Minimum chi-square at photometric redshift z < 7	form=D
z_chisq_z_lt_7	Photometric redshift at minimum chi-square at photometric redshift z < 7	form=D
chisq_z_lt_6	Minimum chi-square at photometric redshift z < 6	form=D
z_chisq_z_lt_6	Photometric redshift at minimum chi-square at photometric redshift z < 6	form=D
chisq_z_lt_5	Minimum chi-square at photometric redshift z < 5	form=D
z_chisq_z_lt_5	Photometric redshift at minimum chi-square at photometric redshift z < 5	form=D
chisq_z_lt_4	Minimum chi-square at photometric redshift z < 4	form=D
z_chisq_z_lt_4	Photometric redshift at minimum chi-square at photometric redshift z < 4	form=D
z_bins	Redshift bins for photometric redshift probability distribution	form=22D
Prob_z_bins	Binned photometric redshift probability distribution	form=22D
