name	description	comment
ID	Unique source identifier	form=K; integer
RA	Right ascension [unit: deg]	form=D; double
DEC	Declination [unit: deg]	form=D; double
X	Centroid x-pixel position [unit: pix]	form=D
Y	Centroid y-pixel position [unit: pix]	form=D
XC	Barycenter x-pixel position [unit: pix]	form=D
YC	Barycenter y-pixel position [unit: pix]	form=D
BBOX_XMIN	Segmentation bounding box minimum x pixel [unit: pix]	form=K
BBOX_XMAX	Segmentation bounding box maximum x pixel [unit: pix]	form=K
BBOX_YMIN	Segmentation bounding box minimum y pixel [unit: pix]	form=K
BBOX_YMAX	Segmentation bounding box maximum y pixel [unit: pix]	form=K
NPIX_DET	Size of the detection segmentation [unit: pix]	form=D
A	2D Gaussian model standard deviation semimajor axis [unit: arcsec]	form=D
B	2D Gaussian model standard deviation semiminor axis [unit: arcsec]	form=D
THETA	2D Gaussian model position angle of semimajor axis relative to image x-axis [unit: deg]	form=D
R_KRON_U	Unscaled Kron radius (minimum 1.4)	form=D
FWHM	Circularized full width at half maximum determined from A and B [unit: arcsec]	form=D
GINI	Gini coefficient computed from detection signal image within the source segmentation	form=D
