name	description
{BAND}_CIRC0	Aperture-corrected flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy (nJy)
{BAND}_CIRC0_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression (nJy)
{BAND}_CIRC0_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image (nJy)
{BAND}_CIRC1	Aperture-corrected flux for filter {BAND} within r = 0.10'' circular aperture (nJy)
{BAND}_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression (nJy)
{BAND}_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image (nJy)
{BAND}_CIRC2	Aperture-corrected flux for filter {BAND} within r = 0.15'' circular aperture (nJy)
{BAND}_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertaintymodel regression (nJy)
{BAND}_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image (nJy)
{BAND}_CIRC3	Aperture-corrected flux for filter {BAND} within r = 0.25'' circular aperture (nJy)
{BAND}_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertaintymodel regression (nJy)
{BAND}_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image (nJy)
{BAND}_CIRC4	Aperture-corrected flux for filter {BAND} within r = 0.30'' circular aperture (nJy)
{BAND}_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertaintymodel regression (nJy)
{BAND}_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image (nJy)
{BAND}_CIRC5	Aperture-corrected flux for filter {BAND} within r = 0.36'' circular aperture (nJy)
{BAND}_CIRC5_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertaintymodel regression (nJy)
{BAND}_CIRC5_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image (nJy)
{BAND}_CIRC6	Aperture-corrected flux for filter {BAND} within r = 0.50'' circular aperture (nJy)
{BAND}_CIRC6_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertaintymodel regression (nJy)
{BAND}_CIRC6_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image (nJy)
{BAND}_KRON	Aperture-corrected, background-subtracted flux for filter {BAND} within the aperture with Kron parameter k = 2.5 (nJy)
{BAND}_KRON_bkg	Background subtraction value for {BAND} KRON with Kron parameter k = 2.5 (nJy)
{BAND}_KRON_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression using Kron parameter k = 2.5 (nJy)
{BAND}_KRON_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image for aperture size with Kron parameter k = 2.5 (nJy)
{BAND}_KRON_S	Aperture-corrected, background-subtracted flux for filter {BAND} within the aperture with Kron parameter k = 1.4 (nJy)
{BAND}_KRON_S_bkg	Background subtraction value for {BAND} KRON with Kron parameter k = 1.4 (nJy)
{BAND}_KRON_S_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression using Kron parameter k = 1.4 (nJy)
{BAND}_KRON_S_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image using Kron parameter k = 1.4 (nJy)
{BAND}_FLAG	Number of bad or empty pixels within the region of the object’s bounding box plus a 10-pixel frame (pixels)
{BAND}_TEXP	Exposure time in {BAND} at source location (sec)
{BAND}_WHT	Estimated inverse variance of sky background at source location (MJy/sr)^-2
